Id,SalePrice
1461,113185.8
1462,154145.19
1463,180947.17
1464,199696.66
1465,193823.19
1466,170955.28
1467,180610.03
1468,164749.92
1469,194295.42
1470,113584.99
1471,179388.19
1472,96899.29
1473,90977.58
1474,145702.25
1475,92822.33
1476,346915.9
1477,251637.98
1478,306015.62
1479,300802.22
1480,453495.62
1481,311430.53
1482,217901.25
1483,171471.42
1484,168086.78
1485,196557.19
1486,200751.81
1487,314270.47
1488,239506.94
1489,192137.8
1490,245036.98
1491,201495.97
1492,89594.5
1493,207947.11
1494,290485.34
1495,272523.4
1496,245509.77
1497,165028.9
1498,160807.67
1499,160949.27
1500,151967.02
1501,205190.55
1502,150313.05
1503,287387.8
1504,239880.52
1505,224389.3
1506,195157.14
1507,246210.77
1508,197987.0
1509,154426.58
1510,147694.19
1511,143794.97
1512,178070.17
1513,145329.0
1514,160191.92
1515,203677.58
1516,163612.52
1517,172663.69
1518,117939.32
1519,227166.52
1520,119709.31
1521,122288.64
1522,197540.11
1523,95475.88
1524,113958.47
1525,110354.27
1526,100655.625
1527,103676.78
1528,132835.16
1529,149173.16
1530,221185.0
1531,137843.95
1532,105038.56
1533,152561.0
1534,120205.95
1535,143448.81
1536,102248.99
1537,56288.535
1538,168612.9
1539,204469.92
1540,121486.414
1541,145874.0
1542,134251.58
1543,187156.05
1544,80225.87
1545,122438.97
1546,153104.98
1547,130867.79
1548,139511.0
1549,124799.26
1550,147434.33
1551,110661.26
1552,150156.12
1553,160401.39
1554,113889.984
1555,158486.05
1556,73734.43
1557,106524.266
1558,99526.34
1559,73533.82
1560,120288.016
1561,125025.08
1562,127532.445
1563,124066.35
1564,159784.72
1565,157904.8
1566,245988.31
1567,67427.68
1568,242464.56
1569,134358.56
1570,139996.47
1571,96765.91
1572,144464.08
1573,239288.66
1574,130791.72
1575,234625.64
1576,253433.52
1577,185465.78
1578,153890.3
1579,132591.56
1580,194634.19
1581,160126.02
1582,129082.54
1583,291842.44
1584,224999.55
1585,141480.19
1586,54599.28
1587,98708.67
1588,158391.89
1589,106411.266
1590,121249.24
1591,88678.68
1592,135635.66
1593,134133.05
1594,126251.586
1595,102328.305
1596,220543.73
1597,194032.81
1598,204293.38
1599,186623.17
1600,179477.72
1601,40925.047
1602,123303.03
1603,67359.75
1604,278200.5
1605,244876.67
1606,157301.94
1607,162131.19
1608,219052.44
1609,188394.1
1610,158049.78
1611,139787.3
1612,183462.22
1613,175558.28
1614,134938.33
1615,93694.734
1616,68010.22
1617,82836.14
1618,111953.79
1619,149510.1
1620,179123.78
1621,129225.305
1622,152572.45
1623,266798.56
1624,213133.83
1625,114263.92
1626,185420.61
1627,189552.77
1628,274071.25
1629,172488.94
1630,330105.34
1631,226294.73
1632,231215.38
1633,186612.66
1634,192136.94
1635,178493.88
1636,145598.73
1637,189528.3
1638,185109.05
1639,186329.94
1640,232785.5
1641,179223.67
1642,256117.02
1643,214396.45
1644,233050.34
1645,212535.03
1646,163173.88
1647,158377.03
1648,129551.19
1649,132802.47
1650,118143.586
1651,117282.82
1652,102231.26
1653,101836.836
1654,144133.25
1655,121488.81
1656,138587.27
1657,153368.16
1658,152843.47
1659,117608.37
1660,152853.5
1661,412192.38
1662,351128.28
1663,357121.62
1664,434039.78
1665,309707.8
1666,319905.75
1667,340897.47
1668,340109.7
1669,311271.34
1670,341876.44
1671,266908.0
1672,393519.88
1673,296572.2
1674,251034.25
1675,205466.27
1676,208482.75
1677,221596.25
1678,447323.25
1679,366638.34
1680,318909.44
1681,267643.22
1682,310869.5
1683,194784.31
1684,182414.1
1685,182234.1
1686,172216.39
1687,174598.45
1688,197233.62
1689,202706.39
1690,206718.11
1691,196169.27
1692,266287.6
1693,175187.75
1694,187144.7
1695,166359.53
1696,260858.77
1697,179497.73
1698,325249.56
1699,325550.3
1700,262024.12
1701,270704.8
1702,237266.1
1703,239600.83
1704,272325.72
1705,260012.14
1706,367019.75
1707,223550.58
1708,203588.03
1709,257037.48
1710,223784.67
1711,280383.25
1712,251254.8
1713,270588.28
1714,221517.17
1715,208223.45
1716,177960.73
1717,183500.47
1718,136116.66
1719,220107.05
1720,237726.84
1721,162495.31
1722,116921.914
1723,156316.22
1724,211958.58
1725,235083.83
1726,189137.31
1727,150446.7
1728,176476.0
1729,169910.27
1730,166093.9
1731,119012.58
1732,129327.21
1733,111296.18
1734,115940.95
1735,117179.766
1736,90724.88
1737,300626.97
1738,255829.39
1739,252308.7
1740,217345.42
1741,194395.14
1742,180607.75
1743,182682.81
1744,327152.72
1745,227397.72
1746,191432.8
